Hand,Equity2P,Equity3P
2c 2d 2h 3h 5h 10h Js,0.694000,0.560667
2c 2d 2h 3h 5h 10s Js,0.733000,0.654000
2c 2d 2h 3h 5s 10s Js,0.737000,0.681667
2c 2d 2h 3s 5s 10s Js,0.670000,0.534000
2c 2d 2h 3h 5h 10h Qh,0.760500,0.581667
2c 2d 2h 3h 5h 10h Qs,0.700500,0.574000
2c 2d 2h 3h 5h 10s Qs,0.747000,0.654000
2c 2d 2h 3h 5s 10s Qs,0.754000,0.676000
2c 2d 2h 3s 5s 10s Qs,0.707000,0.573333
2c 2d 2h 3h 5h 10h Kh,0.727000,0.587667
2c 2d 2h 3h 5h 10h Ks,0.706000,0.595000
2c 2d 2h 3h 5h 10s Ks,0.777500,0.676667
2c 2d 2h 3h 5s 10s Ks,0.762000,0.644000
2c 2d 2h 3s 5s 10s Ks,0.707500,0.571333
2c 2d 2h 3h 5h 10h Ah,0.726500,0.584000
2c 2d 2h 3h 5h 10h As,0.696500,0.517667
2c 2d 2h 3h 5h 10s As,0.734500,0.612667
2c 2d 2h 3h 5s 10s As,0.738000,0.610333
2c 2d 2h 3s 5s 10s As,0.687500,0.541333
2c 2d 2h 3h 5h Jh Js,0.927500,0.875333
2c 2d 2h 3h 5h Jh Qh,0.732500,0.589333
2c 2d 2h 3h 5h Jh Qs,0.723500,0.592000
2c 2d 2h 3h 5h Js Qs,0.773000,0.665333
2c 2d 2h 3h 5s Js Qs,0.784000,0.657333
2c 2d 2h 3s 5s Js Qs,0.706000,0.591333
2c 2d 2h 3h 5h Jh Kh,0.763000,0.576000
2c 2d 2h 3h 5h Jh Ks,0.728000,0.599333
2c 2d 2h 3h 5h Js Ks,0.761500,0.691333
2c 2d 2h 3h 5s Js Ks,0.782500,0.689667
2c 2d 2h 3s 5s Js Ks,0.715500,0.587667
2c 2d 2h 3h 5h Jh Ah,0.759000,0.587000
2c 2d 2h 3h 5h Jh As,0.722500,0.566333
2c 2d 2h 3h 5h Js As,0.739500,0.623667
2c 2d 2h 3h 5s Js As,0.759000,0.622333
2c 2d 2h 3s 5s Js As,0.697500,0.556000
2c 2d 2h 3h 5h Qh Qs,0.943500,0.864000
2c 2d 2h 3h 5h Qh Kh,0.756000,0.613667
2c 2d 2h 3h 5h Qh Ks,0.753500,0.600333
2c 2d 2h 3h 5h Qs Ks,0.800000,0.697000
2c 2d 2h 3h 5s Qs Ks,0.777500,0.692667
2c 2d 2h 3s 5s Qs Ks,0.749000,0.621333
2c 2d 2h 3h 5h Qh Ah,0.760500,0.618000
2c 2d 2h 3h 5h Qh As,0.737500,0.548333
2c 2d 2h 3h 5h Qs As,0.763500,0.671000
2c 2d 2h 3h 5s Qs As,0.774000,0.640667
2c 2d 2h 3s 5s Qs As,0.745000,0.571333
2c 2d 2h 3h 5h Kh Ks,0.943000,0.873667
2c 2d 2h 3h 5h Kh Ah,0.754000,0.604333
2c 2d 2h 3h 5h Kh As,0.739500,0.586000
2c 2d 2h 3h 5h Ks As,0.808500,0.654667
2c 2d 2h 3h 5s Ks As,0.816000,0.665333
2c 2d 2h 3s 5s Ks As,0.733000,0.593333
2c 2d 2h 3h 5h Ah As,0.934000,0.872667
2c 2d 2h 3h 6h 6s 7s,0.891000,0.826000
2c 2d 2h 3h 6h 6s 8s,0.905000,0.799667
2c 2d 2h 3h 6h 6s 9s,0.909500,0.836333
2c 2d 2h 3h 6h 6s 10s,0.903000,0.823333
2c 2d 2h 3h 6h 6s Js,0.912500,0.829333
2c 2d 2h 3h 6h 6s Qs,0.893000,0.819667
2c 2d 2h 3h 6h 6s Ks,0.889500,0.849333
2c 2d 2h 3h 6h 6s As,0.891000,0.844667
2c 2d 2h 3h 6h 7h 7s,0.917500,0.882667
2c 2d 2h 3h 6h 7h 8h,0.724000,0.520000
2c 2d 2h 3h 6h 7h 8s,0.612500,0.510000
2c 2d 2h 3h 6h 7s 8s,0.680000,0.591667
2c 2d 2h 3h 6s 7s 8s,0.666000,0.632000
2c 2d 2h 3s 6s 7s 8s,0.633500,0.502333
2c 2d 2h 3h 6h 7h 9h,0.712500,0.537667
2c 2d 2h 3h 6h 7h 9s,0.609000,0.553333
2c 2d 2h 3h 6h 7s 9s,0.673500,0.594333
2c 2d 2h 3h 6s 7s 9s,0.690000,0.579667
2c 2d 2h 3s 6s 7s 9s,0.614500,0.514667
2c 2d 2h 3h 6h 7h 10h,0.709000,0.529333
2c 2d 2h 3h 6h 7h 10s,0.650500,0.538333
2c 2d 2h 3h 6h 7s 10s,0.719000,0.581667
2c 2d 2h 3h 6s 7s 10s,0.698000,0.622333
2c 2d 2h 3s 6s 7s 10s,0.638000,0.542667
2c 2d 2h 3h 6h 7h Jh,0.717000,0.534000
2c 2d 2h 3h 6h 7h Js,0.656000,0.529000
2c 2d 2h 3h 6h 7s Js,0.705500,0.626000
2c 2d 2h 3h 6s 7s Js,0.702500,0.641333
2c 2d 2h 3s 6s 7s Js,0.628000,0.533000
2c 2d 2h 3h 6h 7h Qh,0.722000,0.561667
2c 2d 2h 3h 6h 7h Qs,0.663000,0.574667
2c 2d 2h 3h 6h 7s Qs,0.705500,0.637667
2c 2d 2h 3h 6s 7s Qs,0.707000,0.646667
2c 2d 2h 3s 6s 7s Qs,0.653000,0.569000
2c 2d 2h 3h 6h 7h Kh,0.716500,0.537667
2c 2d 2h 3h 6h 7h Ks,0.668000,0.561333
2c 2d 2h 3h 6h 7s Ks,0.716000,0.666667
2c 2d 2h 3h 6s 7s Ks,0.739000,0.644667
2c 2d 2h 3s 6s 7s Ks,0.687000,0.575333
2c 2d 2h 3h 6h 7h Ah,0.717500,0.571667
2c 2d 2h 3h 6h 7h As,0.668500,0.579333
2c 2d 2h 3h 6h 7s As,0.726500,0.683333
2c 2d 2h 3h 6s 7s As,0.731500,0.686333
2c 2d 2h 3s 6s 7s As,0.658000,0.579667
2c 2d 2h 3h 6h 8h 8s,0.933500,0.851667
2c 2d 2h 3h 6h 8h 9h,0.727000,0.545333
2c 2d 2h 3h 6h 8h 9s,0.649500,0.523000
2c 2d 2h 3h 6h 8s 9s,0.689500,0.606667
2c 2d 2h 3h 6s 8s 9s,0.694500,0.646333
2c 2d 2h 3s 6s 8s 9s,0.648000,0.521000
2c 2d 2h 3h 6h 8h 10h,0.734000,0.540333
2c 2d 2h 3h 6h 8h 10s,0.663500,0.550000
2c 2d 2h 3h 6h 8s 10s,0.705500,0.647333
2c 2d 2h 3h 6s 8s 10s,0.721000,0.646333
2c 2d 2h 3s 6s 8s 10s,0.672500,0.551333
2c 2d 2h 3h 6h 8h Jh,0.741500,0.552000
2c 2d 2h 3h 6h 8h Js,0.670500,0.575000
2c 2d 2h 3h 6h 8s Js,0.719000,0.655000
2c 2d 2h 3h 6s 8s Js,0.693500,0.649667
2c 2d 2h 3s 6s 8s Js,0.640500,0.535000
2c 2d 2h 3h 6h 8h Qh,0.757500,0.560667
2c 2d 2h 3h 6h 8h Qs,0.701000,0.547333
2c 2d 2h 3h 6h 8s Qs,0.750000,0.671667
2c 2d 2h 3h 6s 8s Qs,0.739000,0.654000
2c 2d 2h 3s 6s 8s Qs,0.659500,0.549333
2c 2d 2h 3h 6h 8h Kh,0.730500,0.594000
2c 2d 2h 3h 6h 8h Ks,0.706500,0.573000
2c 2d 2h 3h 6h 8s Ks,0.752000,0.662333
2c 2d 2h 3h 6s 8s Ks,0.735000,0.656000
2c 2d 2h 3s 6s 8s Ks,0.667000,0.577667
2c 2d 2h 3h 6h 8h Ah,0.726500,0.590333
2c 2d 2h 3h 6h 8h As,0.713500,0.579333
2c 2d 2h 3h 6h 8s As,0.755000,0.656333
2c 2d 2h 3h 6s 8s As,0.772000,0.661333
2c 2d 2h 3s 6s 8s As,0.684500,0.585667
2c 2d 2h 3h 6h 9h 9s,0.926000,0.872000
2c 2d 2h 3h 6h 9h 10h,0.716000,0.565333
2c 2d 2h 3h 6h 9h 10s,0.674500,0.554333
2c 2d 2h 3h 6h 9s 10s,0.703500,0.651000
2c 2d 2h 3h 6s 9s 10s,0.724000,0.632333
2c 2d 2h 3s 6s 9s 10s,0.661000,0.529000
2c 2d 2h 3h 6h 9h Jh,0.726500,0.546333
2c 2d 2h 3h 6h 9h Js,0.680500,0.592667
2c 2d 2h 3h 6h 9s Js,0.762000,0.667667
2c 2d 2h 3h 6s 9s Js,0.734000,0.664333
2c 2d 2h 3s 6s 9s Js,0.687500,0.554667
2c 2d 2h 3h 6h 9h Qh,0.721500,0.566667
2c 2d 2h 3h 6h 9h Qs,0.703500,0.559000
2c 2d 2h 3h 6h 9s Qs,0.732000,0.670667
2c 2d 2h 3h 6s 9s Qs,0.743500,0.668000
2c 2d 2h 3s 6s 9s Qs,0.683500,0.567667
2c 2d 2h 3h 6h 9h Kh,0.761000,0.584000
2c 2d 2h 3h 6h 9h Ks,0.676000,0.587333
2c 2d 2h 3h 6h 9s Ks,0.758500,0.682667
2c 2d 2h 3h 6s 9s Ks,0.753000,0.678667
2c 2d 2h 3s 6s 9s Ks,0.713500,0.587333
2c 2d 2h 3h 6h 9h Ah,0.729500,0.592333
2c 2d 2h 3h 6h 9h As,0.715500,0.603333
2c 2d 2h 3h 6h 9s As,0.768500,0.676667
2c 2d 2h 3h 6s 9s As,0.780500,0.649667
2c 2d 2h 3s 6s 9s As,0.694500,0.587667
2c 2d 2h 3h 6h 10h 10s,0.914500,0.877667
2c 2d 2h 3h 6h 10h Jh,0.729000,0.574000
2c 2d 2h 3h 6h 10h Js,0.683500,0.599000
2c 2d 2h 3h 6h 10s Js,0.759500,0.664667
2c 2d 2h 3h 6s 10s Js,0.751500,0.658667
2c 2d 2h 3s 6s 10s Js,0.669500,0.589000
2c 2d 2h 3h 6h 10h Qh,0.765000,0.586333
2c 2d 2h 3h 6h 10h Qs,0.709000,0.580333
2c 2d 2h 3h 6h 10s Qs,0.765000,0.682000
2c 2d 2h 3h 6s 10s Qs,0.766500,0.684333
2c 2d 2h 3s 6s 10s Qs,0.705000,0.576667
2c 2d 2h 3h 6h 10h Kh,0.743500,0.605667
2c 2d 2h 3h 6h 10h Ks,0.710000,0.563667
2c 2d 2h 3h 6h 10s Ks,0.782000,0.674667
2c 2d 2h 3h 6s 10s Ks,0.768500,0.713000
2c 2d 2h 3s 6s 10s Ks,0.721000,0.585333
2c 2d 2h 3h 6h 10h Ah,0.731000,0.595000
2c 2d 2h 3h 6h 10h As,0.733000,0.611000
2c 2d 2h 3h 6h 10s As,0.782000,0.709667
2c 2d 2h 3h 6s 10s As,0.781000,0.691000
2c 2d 2h 3s 6s 10s As,0.704000,0.606667
2c 2d 2h 3h 6h Jh Js,0.930500,0.875667
2c 2d 2h 3h 6h Jh Qh,0.738500,0.575000
2c 2d 2h 3h 6h Jh Qs,0.730500,0.604000
2c 2d 2h 3h 6h Js Qs,0.791000,0.683000
2c 2d 2h 3h 6s Js Qs,0.787500,0.669667
2c 2d 2h 3s 6s Js Qs,0.721000,0.606667
2c 2d 2h 3h 6h Jh Kh,0.753000,0.600667
2c 2d 2h 3h 6h Jh Ks,0.732500,0.614333
2c 2d 2h 3h 6h Js Ks,0.817500,0.715667
2c 2d 2h 3h 6s Js Ks,0.790000,0.711000
2c 2d 2h 3s 6s Js Ks,0.715000,0.612000
2c 2d 2h 3h 6h Jh Ah,0.738500,0.603000
2c 2d 2h 3h 6h Jh As,0.754000,0.608000
2c 2d 2h 3h 6h Js As,0.809000,0.712333
2c 2d 2h 3h 6s Js As,0.772000,0.718000
2c 2d 2h 3s 6s Js As,0.750000,0.573333
2c 2d 2h 3h 6h Qh Qs,0.925000,0.885667
2c 2d 2h 3h 6h Qh Kh,0.758000,0.590333
2c 2d 2h 3h 6h Qh Ks,0.748000,0.629667
2c 2d 2h 3h 6h Qs Ks,0.807000,0.711667
2c 2d 2h 3h 6s Qs Ks,0.818000,0.733000
2c 2d 2h 3s 6s Qs Ks,0.751000,0.600333
2c 2d 2h 3h 6h Qh Ah,0.759500,0.618000
2c 2d 2h 3h 6h Qh As,0.752000,0.606333
2c 2d 2h 3h 6h Qs As,0.815000,0.709667
2c 2d 2h 3h 6s Qs As,0.820500,0.744333
2c 2d 2h 3s 6s Qs As,0.765000,0.648000
2c 2d 2h 3h 6h Kh Ks,0.929500,0.883333
2c 2d 2h 3h 6h Kh Ah,0.754500,0.637000
2c 2d 2h 3h 6h Kh As,0.775000,0.646333
2c 2d 2h 3h 6h Ks As,0.835500,0.737333
2c 2d 2h 3h 6s Ks As,0.830000,0.734667
2c 2d 2h 3s 6s Ks As,0.772000,0.650000
2c 2d 2h 3h 6h Ah As,0.938500,0.880000
2c 2d 2h 3h 7h 7s 8s,0.918000,0.850000
2c 2d 2h 3h 7h 7s 9s,0.915500,0.844333
2c 2d 2h 3h 7h 7s 10s,0.902000,0.821000
2c 2d 2h 3h 7h 7s Js,0.901500,0.827667
2c 2d 2h 3h 7h 7s Qs,0.911000,0.854333
2c 2d 2h 3h 7h 7s Ks,0.913500,0.845000
2c 2d 2h 3h 7h 7s As,0.889000,0.851333
2c 2d 2h 3h 7h 8h 8s,0.918500,0.863333
2c 2d 2h 3h 7h 8h 9h,0.722500,0.550000
2c 2d 2h 3h 7h 8h 9s,0.626500,0.553333
2c 2d 2h 3h 7h 8s 9s,0.681500,0.617333
2c 2d 2h 3h 7s 8s 9s,0.700500,0.636333
2c 2d 2h 3s 7s 8s 9s,0.648000,0.523333
2c 2d 2h 3h 7h 8h 10h,0.705500,0.580667
2c 2d 2h 3h 7h 8h 10s,0.648000,0.540667
2c 2d 2h 3h 7h 8s 10s,0.706000,0.642000
2c 2d 2h 3h 7s 8s 10s,0.699000,0.643000
2c 2d 2h 3s 7s 8s 10s,0.663000,0.536333
2c 2d 2h 3h 7h 8h Jh,0.753000,0.547667
2c 2d 2h 3h 7h 8h Js,0.652500,0.545667
2c 2d 2h 3h 7h 8s Js,0.712500,0.644000
2c 2d 2h 3h 7s 8s Js,0.723000,0.664333
2c 2d 2h 3s 7s 8s Js,0.665000,0.564000
2c 2d 2h 3h 7h 8h Qh,0.728500,0.549667
2c 2d 2h 3h 7h 8h Qs,0.683500,0.565667
2c 2d 2h 3h 7h 8s Qs,0.757000,0.648000
2c 2d 2h 3h 7s 8s Qs,0.743500,0.660667
2c 2d 2h 3s 7s 8s Qs,0.693500,0.588667
2c 2d 2h 3h 7h 8h Kh,0.756500,0.606000
2c 2d 2h 3h 7h 8h Ks,0.688000,0.574000
2c 2d 2h 3h 7h 8s Ks,0.760000,0.696333
2c 2d 2h 3h 7s 8s Ks,0.753000,0.694333
2c 2d 2h 3s 7s 8s Ks,0.714500,0.587333
2c 2d 2h 3h 7h 8h Ah,0.754500,0.612333
2c 2d 2h 3h 7h 8h As,0.690000,0.548000
2c 2d 2h 3h 7h 8s As,0.774000,0.702333
2c 2d 2h 3h 7s 8s As,0.736500,0.675000
2c 2d 2h 3s 7s 8s As,0.702000,0.591333
2c 2d 2h 3h 7h 9h 9s,0.921000,0.873333
2c 2d 2h 3h 7h 9h 10h,0.725000,0.582333
2c 2d 2h 3h 7h 9h 10s,0.666000,0.586667
2c 2d 2h 3h 7h 9s 10s,0.729500,0.636000
2c 2d 2h 3h 7s 9s 10s,0.723000,0.655333
2c 2d 2h 3s 7s 9s 10s,0.678000,0.575000
2c 2d 2h 3h 7h 9h Jh,0.718500,0.581000
2c 2d 2h 3h 7h 9h Js,0.657500,0.579333
2c 2d 2h 3h 7h 9s Js,0.760000,0.656667
2c 2d 2h 3h 7s 9s Js,0.733000,0.654333
2c 2d 2h 3s 7s 9s Js,0.660500,0.571000
2c 2d 2h 3h 7h 9h Qh,0.737000,0.594333
2c 2d 2h 3h 7h 9h Qs,0.710000,0.556667
2c 2d 2h 3h 7h 9s Qs,0.770000,0.668000
2c 2d 2h 3h 7s 9s Qs,0.755000,0.669333
2c 2d 2h 3s 7s 9s Qs,0.691000,0.595000
2c 2d 2h 3h 7h 9h Kh,0.765500,0.605000
2c 2d 2h 3h 7h 9h Ks,0.701500,0.579667
2c 2d 2h 3h 7h 9s Ks,0.730500,0.692000
2c 2d 2h 3h 7s 9s Ks,0.779000,0.679000
2c 2d 2h 3s 7s 9s Ks,0.708500,0.604000
2c 2d 2h 3h 7h 9h Ah,0.750000,0.592333
2c 2d 2h 3h 7h 9h As,0.711000,0.577667
2c 2d 2h 3h 7h 9s As,0.766500,0.698667
2c 2d 2h 3h 7s 9s As,0.777500,0.695333
2c 2d 2h 3s 7s 9s As,0.714000,0.582000
2c 2d 2h 3h 7h 10h 10s,0.929500,0.892333
2c 2d 2h 3h 7h 10h Jh,0.734000,0.591667
2c 2d 2h 3h 7h 10h Js,0.715500,0.621333
2c 2d 2h 3h 7h 10s Js,0.757500,0.677000
2c 2d 2h 3h 7s 10s Js,0.746500,0.682333
2c 2d 2h 3s 7s 10s Js,0.699500,0.578667
2c 2d 2h 3h 7h 10h Qh,0.757000,0.603333
2c 2d 2h 3h 7h 10h Qs,0.701500,0.610333
2c 2d 2h 3h 7h 10s Qs,0.754000,0.689667
2c 2d 2h 3h 7s 10s Qs,0.744000,0.684333
2c 2d 2h 3s 7s 10s Qs,0.729000,0.553000
2c 2d 2h 3h 7h 10h Kh,0.751000,0.593667
2c 2d 2h 3h 7h 10h Ks,0.703500,0.620333
2c 2d 2h 3h 7h 10s Ks,0.781000,0.693333
2c 2d 2h 3h 7s 10s Ks,0.770500,0.722667
2c 2d 2h 3s 7s 10s Ks,0.712500,0.593000
2c 2d 2h 3h 7h 10h Ah,0.759500,0.613000
2c 2d 2h 3h 7h 10h As,0.734500,0.613333
2c 2d 2h 3h 7h 10s As,0.797500,0.698333
2c 2d 2h 3h 7s 10s As,0.779000,0.720667
2c 2d 2h 3s 7s 10s As,0.731000,0.617000
2c 2d 2h 3h 7h Jh Js,0.929000,0.878000
2c 2d 2h 3h 7h Jh Qh,0.760000,0.616333
2c 2d 2h 3h 7h Jh Qs,0.712500,0.617667
2c 2d 2h 3h 7h Js Qs,0.810000,0.702000
2c 2d 2h 3h 7s Js Qs,0.739000,0.683333
2c 2d 2h 3s 7s Js Qs,0.738000,0.621667
2c 2d 2h 3h 7h Jh Kh,0.750500,0.583333
2c 2d 2h 3h 7h Jh Ks,0.737500,0.599000
2c 2d 2h 3h 7h Js Ks,0.794500,0.715667
2c 2d 2h 3h 7s Js Ks,0.805500,0.693667
2c 2d 2h 3s 7s Js Ks,0.741000,0.628000
2c 2d 2h 3h 7h Jh Ah,0.763500,0.599333
2c 2d 2h 3h 7h Jh As,0.728000,0.592000
2c 2d 2h 3h 7h Js As,0.806500,0.688667
2c 2d 2h 3h 7s Js As,0.807000,0.705333
2c 2d 2h 3s 7s Js As,0.767500,0.626000
2c 2d 2h 3h 7h Qh Qs,0.927500,0.877333
2c 2d 2h 3h 7h Qh Kh,0.763500,0.618333
2c 2d 2h 3h 7h Qh Ks,0.772000,0.623667
2c 2d 2h 3h 7h Qs Ks,0.808000,0.714000
2c 2d 2h 3h 7s Qs Ks,0.817500,0.737333
2c 2d 2h 3s 7s Qs Ks,0.750500,0.615667
2c 2d 2h 3h 7h Qh Ah,0.765000,0.635000
2c 2d 2h 3h 7h Qh As,0.758500,0.644667
2c 2d 2h 3h 7h Qs As,0.815000,0.728333
2c 2d 2h 3h 7s Qs As,0.821000,0.730000
2c 2d 2h 3s 7s Qs As,0.762500,0.643667
2c 2d 2h 3h 7h Kh Ks,0.936000,0.881333
2c 2d 2h 3h 7h Kh Ah,0.764000,0.611333
2c 2d 2h 3h 7h Kh As,0.789000,0.665667
2c 2d 2h 3h 7h Ks As,0.832000,0.754000
2c 2d 2h 3h 7s Ks As,0.846500,0.757333
2c 2d 2h 3s 7s Ks As,0.792000,0.672000
2c 2d 2h 3h 7h Ah As,0.940000,0.872667
2c 2d 2h 3h 8h 8s 9s,0.903500,0.837000
2c 2d 2h 3h 8h 8s 10s,0.903000,0.845000
2c 2d 2h 3h 8h 8s Js,0.898500,0.827000
2c 2d 2h 3h 8h 8s Qs,0.912000,0.845000
2c 2d 2h 3h 8h 8s Ks,0.906500,0.836667
2c 2d 2h 3h 8h 8s As,0.907500,0.841667
